# Monthly Data for Mar 1950 to Mar 2014
#
# (As of: Fri Mar 14 18:08:55 PDT 2014)
"#  **Provisional data, subject to revision**"
#
"Date,Station Id,Station Name,Air Temperature Average (degF),Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment - Snow-adj (in),Reservoir Storage Volume (ac_ft),Elevation (ft),Start Date,End Date"
"Sep 2003,574,LEAVITT LAKE,51,0.0,0,51.1,70,29,0.30,,9617,1989-08-17,2100-01-01"
"Oct 2003,574,LEAVITT LAKE,46,0.0,0,0.0,65,12,0.40,,9617,1989-08-17,2100-01-01"
"Nov 2003,574,LEAVITT LAKE,26,0.4,6,0.4,54,0,6.10,,9617,1989-08-17,2100-01-01"
"Dec 2003,574,LEAVITT LAKE,25,6.5,27,5.6,54,0,23.80,,9617,1989-08-17,2100-01-01"
"Jan 2004,574,LEAVITT LAKE,25,30.3,114,22.9,48,-1,8.80,,9617,1989-08-17,2100-01-01"
"Feb 2004,574,LEAVITT LAKE,20,39.1,115,27.7,43,5,16.40,,9617,1989-08-17,2100-01-01"
"Mar 2004,574,LEAVITT LAKE,35,55.5,161,39.7,65,10,1.60,,9617,1989-08-17,2100-01-01"
"Apr 2004,574,LEAVITT LAKE,33,56.8,127,41.3,61,12,0.90,,9617,1989-08-17,2100-01-01"
"May 2004,574,LEAVITT LAKE,39,53.9,109,42.2,63,17,1.40,,9617,1989-08-17,2100-01-01"
"Jun 2004,574,LEAVITT LAKE,49,31.2,64,43.6,66,18,0.40,,9617,1989-08-17,2100-01-01"
"Jul 2004,574,LEAVITT LAKE,56,0.0,0,44.0,72,34,0.30,,9617,1989-08-17,2100-01-01"
"Aug 2004,574,LEAVITT LAKE,53,0.0,0,44.3,73,25,0.10,,9617,1989-08-17,2100-01-01"
"Sep 2004,574,LEAVITT LAKE,47,0.0,0,44.4,68,17,0.70,,9617,1989-08-17,2100-01-01"
"Oct 2004,574,LEAVITT LAKE,34,0.0,0,0.0,63,9,11.90,,9617,1989-08-17,2100-01-01"
"Nov 2004,574,LEAVITT LAKE,25,10.9,48,11.9,50,-4,4.60,,9617,1989-08-17,2100-01-01"
"Dec 2004,574,LEAVITT LAKE,26,14.6,55,16.5,51,-2,19.30,,9617,1989-08-17,2100-01-01"
"Jan 2005,574,LEAVITT LAKE,24,33.9,132,28.4,58,2,21.30,,9617,1989-08-17,2100-01-01"
"Feb 2005,574,LEAVITT LAKE,24,55.2,159,41.1,50,0,7.40,,9617,1989-08-17,2100-01-01"
"Mar 2005,574,LEAVITT LAKE,26,62.6,178,47.6,58,3,14.20,,9617,1989-08-17,2100-01-01"
"Apr 2005,574,LEAVITT LAKE,28,76.8,204,58.9,58,1,6.10,,9617,1989-08-17,2100-01-01"
"May 2005,574,LEAVITT LAKE,38,82.9,190,63.0,67,8,7.10,,9617,1989-08-17,2100-01-01"
"Jun 2005,574,LEAVITT LAKE,42,77.0,148,70.1,71,12,1.30,,9617,1989-08-17,2100-01-01"
"Jul 2005,574,LEAVITT LAKE,59,47.2,87,71.4,77,33,0.10,,9617,1989-08-17,2100-01-01"
"Aug 2005,574,LEAVITT LAKE,55,0.0,0,71.5,71,37,0.30,,9617,1989-08-17,2100-01-01"
"Sep 2005,574,LEAVITT LAKE,46,0.0,0,71.8,67,27,0.30,,9617,1989-08-17,2100-01-01"
"Oct 2005,574,LEAVITT LAKE,41,0.0,0,0.0,62,19,1.30,,9617,1989-08-17,2100-01-01"
"Nov 2005,574,LEAVITT LAKE,36,0.4,4,1.3,55,6,7.10,,9617,1989-08-17,2100-01-01"
"Dec 2005,574,LEAVITT LAKE,31,7.5,35,7.5,50,14,30.40,,9617,1989-08-17,2100-01-01"
"Jan 2006,574,LEAVITT LAKE,28,37.9,128,29.6,46,6,18.50,,9617,1989-08-17,2100-01-01"
"Feb 2006,574,LEAVITT LAKE,28,56.4,150,40.5,54,0,10.90,,9617,1989-08-17,2100-01-01"
"Mar 2006,574,LEAVITT LAKE,21,67.3,176,46.9,43,2,20.50,,9617,1989-08-17,2100-01-01"
"Apr 2006,574,LEAVITT LAKE,32,87.8,229,59.0,58,10,15.70,,9617,1989-08-17,2100-01-01"
"May 2006,574,LEAVITT LAKE,43,103.5,216,68.3,66,18,2.30,,9617,1989-08-17,2100-01-01"
"Jun 2006,574,LEAVITT LAKE,52,89.1,157,70.6,76,30,0.00,,9617,1989-08-17,2100-01-01"
"Jul 2006,574,LEAVITT LAKE,58,43.5,75,70.6,75,44,1.90,,9617,1989-08-17,2100-01-01"
"Aug 2006,574,LEAVITT LAKE,55,0.0,0,72.5,68,42,0.40,,9617,1989-08-17,2100-01-01"
"Sep 2006,574,LEAVITT LAKE,49,0.0,0,72.9,67,23,0.10,,9617,1989-08-17,2100-01-01"
"Oct 2006,574,LEAVITT LAKE,39,0.0,0,0.0,56,21,1.50,,9617,1989-08-17,2100-01-01"
"Nov 2006,574,LEAVITT LAKE,34,0.0,0,1.5,59,4,4.00,,9617,1989-08-17,2100-01-01"
"Dec 2006,574,LEAVITT LAKE,30,3.8,16,5.5,50,-1,10.10,,9617,1989-08-17,2100-01-01"
"Jan 2007,574,LEAVITT LAKE,24,13.9,54,12.5,50,-16,2.10,,9617,1989-08-17,2100-01-01"
"Feb 2007,574,LEAVITT LAKE,27,16.0,57,14.0,55,5,16.90,,9617,1989-08-17,2100-01-01"
"Mar 2007,574,LEAVITT LAKE,35,32.9,122,26.9,56,9,1.40,,9617,1989-08-17,2100-01-01"
"Apr 2007,574,LEAVITT LAKE,35,34.3,93,28.3,58,10,3.00,,9617,1989-08-17,2100-01-01"
"May 2007,574,LEAVITT LAKE,43,33.8,81,31.3,64,16,1.30,,9617,1989-08-17,2100-01-01"
"Jun 2007,574,LEAVITT LAKE,51,11.9,30,32.6,67,21,0.00,,9617,1989-08-17,2100-01-01"
"Jul 2007,574,LEAVITT LAKE,60,0.0,0,32.6,76,43,0.20,,9617,1989-08-17,2100-01-01"
"Aug 2007,574,LEAVITT LAKE,57,0.0,0,32.8,71,44,0.50,,9617,1989-08-17,2100-01-01"
"Sep 2007,574,LEAVITT LAKE,46,0.0,0,33.3,67,26,1.20,,9617,1989-08-17,2100-01-01"
"Oct 2007,574,LEAVITT LAKE,40,0.0,0,0.0,66,16,1.60,,9617,1989-08-17,2100-01-01"
"Nov 2007,574,LEAVITT LAKE,38,0.2,1,1.6,55,9,0.80,,9617,1989-08-17,2100-01-01"
"Dec 2007,574,LEAVITT LAKE,25,0.7,4,2.4,47,0,8.50,,9617,1989-08-17,2100-01-01"
"Jan 2008,574,LEAVITT LAKE,24,9.2,38,9.4,50,5,26.70,,9617,1989-08-17,2100-01-01"
